iter	Passed	Remaining
916	14695	1330
917	14710	1313
918	14726	1297
919	14741	1281
920	14756	1265
921	14771	1249
922	14787	1233
923	14804	1217
924	14820	1201
925	14835	1185
926	14852	1169
927	14868	1153
928	14882	1137
929	14896	1121
930	14911	1105
931	14926	1089
932	14941	1072
933	14955	1056
934	14970	1040
935	14985	1024
936	15000	1008
937	15018	992
938	15033	976
939	15048	960
940	15064	944
941	15083	928
942	15106	913
943	15123	897
944	15138	881
945	15152	864
946	15166	848
947	15184	832
948	15198	816
949	15214	800
950	15228	784
951	15242	768
952	15255	752
953	15270	736
954	15285	720
955	15302	704
956	15317	688
957	15333	672
958	15352	656
959	15369	640
960	15388	624
961	15407	608
962	15424	592
963	15441	576
964	15457	560
965	15473	544
966	15488	528
967	15504	512
968	15519	496
969	15533	480
970	15547	464
971	15563	448
972	15578	432
973	15597	416
974	15615	400
975	15631	384
976	15654	368
977	15675	352
978	15694	336
979	15713	320
980	15730	304
981	15748	288
982	15767	272
983	15786	256
984	15803	240
985	15821	224
986	15837	208
987	15854	192
988	15871	176
989	15887	160
990	15904	144
991	15922	128
992	15940	112
993	15957	96
994	15976	80
995	15993	64
996	16010	48
997	16027	32
998	16045	16
999	16062	0
